序号,统一档位,投递顺序,单位路线,地域大类,省份/区域,城市/地点,公司/单位,岗位方向,薪资/福利,投递入口/渠道,单位属性,原始档位,操作建议,备注
81,G档·央国企稳定线,2,央企国企,南方重点,上海,上海,上海电气,储能/新能源控制,16-26万,上海电气校招,地方国企/省市属,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
82,G档·央国企稳定线,2,央企国企,南方重点,上海,上海,移动储能BMS系统工程师,25-35k·13薪 / CATL智能科技,,,地方国企/省市属,V3/V4增量,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
83,G档·央国企稳定线,2,央企国企,南方重点,上海,武汉/上海,中国电气装备储能公司,央企/储能系统/BMS/PCS(2026校招),16-28万,国聘网/国资委公告,央企/央企子公司,P3,稳定路线；优先官网/国聘/集团校招平台核验并投递。,武汉补充(央企/半导体)
84,G档·央国企稳定线,2,央企国企,中南/华东备选,湖北,北京/武汉,中国化学工程,新能源/储能,硕士14-22万,cncec.chinahr.com,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
85,G档·央国企稳定线,2,央企国企,中南/华东备选,湖北,北京/武汉,中国化学工程,新能源/储能技术,硕士14-22万,cncec.chinahr.com,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
86,G档·央国企稳定线,2,央企国企,中南/华东备选,湖北,武汉,东风汽车集团,BMS算法/能量管理,20-35万,dfmc.com.cn,央企/央企子公司,A档·冲一冲,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
87,G档·央国企稳定线,2,央企国企,中南/华东备选,湖北,武汉,东风汽车集团,BMS/能量管理,硕士20-35万,dfmc.com.cn,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
88,G档·央国企稳定线,2,央企国企,中南/华东备选,湖北,武汉,中船重工712所,电池/储能/控制,,船用电池方向,央企/央企子公司,体制内·特殊赛道,稳定路线；优先官网/国聘/集团校招平台核验并投递。,船用电池方向
89,G档·央国企稳定线,2,央企国企,中南/华东备选,湖北,武汉,长江存储,半导体/自动化/控制(武汉明星国企),15-25万,官网校招,地方国企/省市属,P3,稳定路线；优先官网/国聘/集团校招平台核验并投递。,武汉补充(央企/半导体)
90,G档·央国企稳定线,2,央企国企,中南/华东备选,湖北,武汉/全国,中国三峡新能源(集团),央企/新能源/海上风电/储能(2026校招),15-25万,www.ctgne.com 校招,央企/央企子公司,P3,稳定路线；优先官网/国聘/集团校招平台核验并投递。,武汉补充(央企/半导体)
91,G档·央国企稳定线,2,央企国企,中南/华东备选,湖北,武汉/北京/成都,中国三峡集团,新能源/储能,硕士16-26万,zhaopin.ctg.com.cn,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
92,G档·央国企稳定线,2,央企国企,中南/华东备选,湖北,武汉/成都/西安,中石化工程设计,智能低碳研究,硕士15-22万,中石化人才网,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
93,G档·央国企稳定线,2,央企国企,中南/华东备选,湖北,武汉/成都/西安,中石化石油工程设计,智能低碳研究岗,硕士15-22万,中石化人才招聘网,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
94,G档·央国企稳定线,2,央企国企,中南/华东备选,湖北,武汉/重庆,中石化江汉设计,智能低碳/智慧能源,硕士15-22万,中石化人才网,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
95,G档·央国企稳定线,2,央企国企,中南/华东备选,湖北,武汉江夏,中能建储能科技(中储科技),BMS/EMS/PCS 储能系统(央企),15-22万,北极星招聘/国聘网,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
96,G档·央国企稳定线,2,央企国企,其他国内,京津冀,北京/全国,中国华能集团,新能源/储能研发,硕士15-25万,华能校招系统,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
97,G档·央国企稳定线,2,央企国企,其他国内,京津冀,北京/全国,中核集团,储能/新能源控制,硕士15-25万,cnnc.chinahr.com,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
98,G档·央国企稳定线,2,央企国企,其他国内,京津冀,北京/全国,国家能源集团,氢能/储能研究,硕士15-25万,国家能源招聘平台,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
99,G档·央国企稳定线,2,央企国企,其他国内,京津冀,北京/全国,国家能源集团,氢能/储能研究员,硕士15-25万,国家能源集团招聘平台,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
100,G档·央国企稳定线,2,央企国企,其他国内,京津冀,天津/成都,中电科蓝天/18所,电源BMS/嵌入式,硕士优厚+六险二金,dklt.zhiye.com,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
101,G档·央国企稳定线,2,央企国企,其他国内,京津冀,天津/成都,中电科蓝天/18所,电源系统研发(BMS/嵌入式),硕士优厚+六险二金,dklt.zhiye.com,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
102,G档·央国企稳定线,2,央企国企,全国/待核验,全国/多地,全国,华润电力,电气、新能源、机械,15-25万,2026.yingjiesheng.com/cr-power,央企/央企子公司,A档·冲一冲,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
103,G档·央国企稳定线,2,央企国企,全国/待核验,全国/多地,全国抽蓄电站,国家电网-国网新源（抽水蓄能）,EMS/电气/控制（2027校招）,到手15w+公积金年金≈20w,zhaopin.sgcc.com.cn,央企/央企子公司,A档·冲一冲,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
104,G档·央国企稳定线,2,央企国企,全国/待核验,全国/多地,各地,中国华电集团,电气、能源动力、水利水电,基层15-20万,chd.com.cn,央企/央企子公司,B档·稳一稳,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
105,G档·央国企稳定线,2,央企国企,全国/待核验,全国/多地,各地,中国华能集团,电气、能动、新能源,基层15-20万,校招官网/各子分公司,央企/央企子公司,B档·稳一稳,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
106,G档·央国企稳定线,2,央企国企,全国/待核验,全国/多地,各地,中国大唐集团,电气、能源动力,基层15-20万,校招官网,央企/央企子公司,B档·稳一稳,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
107,G档·央国企稳定线,2,央企国企,全国/待核验,全国/多地,各地,中电建 POWERCHINA,电气、控制、水利水电,水电/抽水蓄能工程,各子公司校招,央企/央企子公司,B档·稳一稳,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
108,G档·央国企稳定线,2,央企国企,全国/待核验,全国/多地,各地,中石化 Sinopec,电气、化工、控制,18-28万,job.sinopec.com,央企/央企子公司,B档·稳一稳,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
109,G档·央国企稳定线,2,央企国企,全国/待核验,全国/多地,各地,中石油 CNPC,电气、控制、石油工程,18-28万,zhaopin.cnpc.com.cn,央企/央企子公司,B档·稳一稳,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
110,G档·央国企稳定线,2,央企国企,全国/待核验,全国/多地,各地,中能建 CECEP,电气、控制、能源,火电/新能源建设,各子公司校招,央企/央企子公司,B档·稳一稳,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
111,G档·央国企稳定线,2,央企国企,全国/待核验,全国/多地,各地,中铁各局（一局~二十局）,电气、控制、土木,本科为主，人才基金15-18w,各局官网,央企/央企子公司,待分类,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
112,G档·央国企稳定线,2,央企国企,全国/待核验,全国/多地,各地,国家电投集团,电气、能源动力、核工程、自动化,基层15-20万,spic2026.iguopin.com,央企/央企子公司,B档·稳一稳,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
113,G档·央国企稳定线,2,央企国企,全国/待核验,全国/多地,各地,国家能源集团（火电/煤炭/新能源）,电气、能动、采矿、计算机,基层15-25万,zhaopin.chnenergy.com.cn,央企/央企子公司,B档·稳一稳,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
114,G档·央国企稳定线,2,央企国企,全国/待核验,全国/多地,各地,国铁集团-18个铁路局,铁道供电、电气自动化、信号,大专起报，稳定铁饭碗,rczp.china-railway.com.cn,央企/央企子公司,待分类,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
115,G档·央国企稳定线,2,央企国企,全国/待核验,全国/多地,各地市,国家电网-一般地市电力公司,电工类（电气工程、自动化、控制）,15-25万,zhaopin.sgcc.com.cn,央企/央企子公司,A档·冲一冲,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
116,G档·央国企稳定线,2,央企国企,全国/待核验,全国/多地,各地抽蓄电站,南方电网-储能（抽水蓄能）,电气、水利水电,类似国网新源,zhaopin.csg.cn,央企/央企子公司,B档·稳一稳,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
117,G档·央国企稳定线,2,央企国企,全国/待核验,全国/多地,多地,中国电科集团(其他所),电源/BMS/控制,,,央企/央企子公司,体制内·特殊赛道,稳定路线；优先官网/国聘/集团校招平台核验并投递。,各所独立招聘
118,G档·央国企稳定线,2,央企国企,全国/待核验,全国/多地,多地,中国电科集团(各所),电源/BMS/控制,,各所独立招聘,央企/央企子公司,体制内·特殊赛道,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
119,G档·央国企稳定线,2,央企国企,其他国内,京津冀,河北沧州,国家能源集团-黄骅港务,电气、控制、机械,基层15-20万,zhaopin.chnenergy.com.cn,央企/央企子公司,待分类,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
